1	171	0	171	0	0
2	168	0	165	1	2
3	172	2	1	1	168
4	171	1	168	2	0
5	171	169	0	2	0
6	170	1	0	167	2
7	173	0	1	171	1
8	174	0	0	1	173
9	175	1	173	1	0
10	176	174	0	1	1
11	174	0	172	2	0
12	176	1	1	0	174
13	177	3	169	0	5
14	177	1	0	0	176
15	176	4	1	1	170
16	183	0	0	10	173
17	181	0	1	180	0
18	173	0	0	173	0
19	183	0	182	1	0
20	183	181	0	0	2
21	177	177	0	0	0
22	184	0	183	1	0
23	184	0	0	184	0
24	185	183	0	2	0
25	185	2	182	1	0
26	185	0	185	0	0
27	179	0	172	2	5
28	185	0	181	3	1
29	204	0	0	0	204
30	206	1	203	1	1
31	204	0	1	201	2
32	204	0	1	1	202
33	204	1	199	4	0
34	204	204	0	0	0
35	197	0	196	1	0
36	205	193	8	1	3
37	198	194	1	1	2
38	199	1	1	0	197
39	188	186	0	1	1
40	187	187	0	0	0
41	186	185	0	1	0
42	194	2	0	192	0
43	192	187	3	1	1
44	192	1	1	0	190
45	188	188	0	0	0
46	100	0	3	96	1
47	98	1	4	91	2
48	121	17	19	63	22
49	158	10	5	139	4
50	141	1	1	138	1
51	211	15	70	115	11
52	1869	38	1815	6	10
53	1903	1889	5	4	5
54	1902	1867	20	7	8
55	1946	10	1913	6	17
56	1939	3	0	3	1933
57	1929	1900	14	5	10
58	2003	1987	7	4	5
59	2003	1968	10	18	7
60	2314	20	12	2272	10
61	2338	4	12	2318	4
62	2388	2376	3	4	5
63	2389	2357	8	17	7
64	2441	4	11	2422	4
65	2428	10	2400	8	10
66	2485	9	33	8	2435
67	2497	8	2454	9	26
68	2498	6	7	6	2479
69	2509	2479	10	13	7
70	2538	9	9	3	2517
71	2522	5	6	8	2503
72	2589	2569	5	10	5
73	2595	9	8	2572	6
74	2618	2596	10	6	6
75	2623	4	6	4	2609
76	2639	2619	6	7	7
77	2636	6	2623	3	4
78	2670	2620	32	13	5
79	2684	13	7	2649	15
80	2658	5	2	2645	6
81	2714	2691	9	2	12
82	2725	9	7	2700	9
83	2708	6	2688	4	10
84	2745	2690	33	9	13
85	2736	7	3	2721	5
86	2736	2722	5	3	6
87	2733	3	13	9	2708
88	2737	11	12	2705	9
89	2745	2722	8	9	6
90	2752	6	9	3	2734
91	2749	2728	5	7	9
92	2736	5	2720	5	6
93	2765	2718	22	12	13
94	2754	6	4	2739	5
95	2748	6	6	12	2724
96	2757	2721	14	12	10
97	2764	10	15	6	2733
98	2734	2	6	10	2716
99	2755	2728	6	8	13
100	2755	15	14	2723	3
101	2755	2727	8	16	4
102	2717	2694	7	10	6
103	2721	5	6	2704	6
104	2513	2495	5	9	4
105	2462	2441	8	8	5
106	2486	2458	12	5	11
107	2452	3	5	11	2433
108	2436	10	3	2418	5
109	2424	2408	6	4	6
110	2402	6	3	2392	1
111	2193	6	8	14	2165
112	2178	8	11	9	2150
113	2168	7	5	41	2115
114	2115	6	1	2099	9
115	2119	2	2104	7	6
116	2079	5	2067	3	4
117	2075	2049	6	10	10
118	2042	7	2	2027	6
119	2011	7	6	1995	3
